Oven Frame,,1,P1,1'x(8”x8”x3/16”) thick Aluminum Tube,,6061 Al,,6546K76,48.81,48.81,
,,1,P2,0.5”x0.5”x12” Top Bar,,6061 Al,,9008K81,2.14,2.14,
,,2,P3,0.5”x0.5”x12” Vertical Columns,,6061 Al,,9008K81,2.14,4.28,
,,1,P4,9” x (8”x1/4”) Front Wall,,6061 Al,,8975K443,17.91,17.91,
,,2,P5,6” x (1/2”x3/4”) Door Members,,6061 Al,,8975K618,2.07,4.14,
,,1,P6,12” x (1/8”x6”) Door Panel,,6061 Al,,8975K921,6.86,6.86,
,,1,P7,12” x (8”x1/4”) Back Wall,,6061 Al,,8975K443,17.91,17.91,
,,1,P8,8”x10” High Temp. Gasket,,1/32” thick Aramid/Buna-N,,9402K22,,0,
,,5,A1,8-32 angle bracket,,"5/8” & 3/4” Sides, horizontal slot",,15275A51,0.69,3.45,
Heating Element Mechanical,,1,,"270ft, 36 mil OD Nichrome Wire",,"Chromel C, 980 Degrees C Max Temp",McMaster,8880K46,71.92,71.92,
,,2,,10-32 Nichrome Mounting Rod,,18-8 Stainless Steel,McMaster,98804A106,3.3,6.6,
,,12,,Ceramic spacers for nichrome insulation,,"1” Lg, 3/8” OD, 0.192 ID, for No. 10 screws",McMaster,96109A235,4.2,50.4,
,,2,,No. 6 size ceramic standoffs,,"1.5” Lg., 9/16” threaded on both sides",McMaster,94335A145,4.44,8.88,
,,1,,"6-32, 7/64” Ht. Nuts (100 pack)",,18-8 Stainless Steel,McMaster,91841A007,3.48,3.48,
,,1,,No. 6 size washer (100 pack),,18-8 Stainless Steel,McMaster,92141A008,1.17,1.17,
,,1,,"6-32, 7/8” Lg. Socket head cap screw (100 pk)",,18-8 Stainless Steel,McMaster,92196A152,6.36,6.36,
,,10,,12 AWG braided oven wire (by ft),9.3 A max power transmission,rated to 450 Celcius,McMaster,8209K19,3.17,31.7,
,,1,,"12 AWG, No. 6 size ring terminals (100 pk)",,rated to 480 Celcius,McMaster,69405K56,12.36,12.36,
,,1,,"6-32, 8 pos electric terminal block",,,"Molex, LLC",387203208,5.16,5.16,
